experiment	commit	metric	status	description
297	0f75c81	89.79	discard	move HDR static metadata augmentation and encoded-frame construction off the VT callback thread onto the output queue so detached high-refresh HDR HEVC can return from output callbacks earlier without changing transport semantics
298	ff83ccc	89.58	discard	move detached staged processing success and failure bookkeeping off synchronous outputQueue hops so commandBuffer completion does not wait behind output callback delivery and HDR transport work
299	2cfc422	90.42	discard	clamp detached high-refresh PQ HDR HEVC staging inflight to three only until the first completed output arrives, then restore the proven four-slot steady-state cap to test whether startup oversubmission is still the remaining bottleneck
300	72e31c0	89.58	discard	lower HEVC reference buffer count from one to zero on the corrected detached baseline to test whether VT inter-frame reference residency is still taxing useful-output cadence under partial HDR overlay
301	7b5a206	90.21	discard	retain the freshest staged slot outside the reusable pool so recovery replay never re-encodes a detached pixel buffer after the staging pool has recycled it for newer work
302	0c3d55a	90.00	discard	expand detached high-refresh PQ HDR HEVC staging inflight from four to five only until the first completed output arrives, then restore the proven four-slot steady-state cap to test whether startup under-admission is limiting useful-output cadence
303	f1bcf49	90.00	discard	make Lumen the sole HDR static-metadata owner for 120 Hz PQ HEVC by skipping MDK callback-side sample-buffer augmentation on that path
304	0c64ea2	90.00	discard	separate detached high-refresh PQ HEVC recovery replay backing from the reusable staging-slot pool with a tiny dedicated replay buffer ring
305	bea3505	90.00	discard	move VT submit/accounting counters off outputQueue sync onto a dedicated accountingQueue so detached high-refresh HDR HEVC submit path no longer blocks on callback delivery bookkeeping
306	2b7eec3	89.58	discard	replace detached commandBuffer completion callbacks with synchronous waitUntilCompleted plus immediate VT submit for high-refresh PQ HDR HEVC staged work
307	f778ce7	89.38	discard	prewarm the VideoToolbox session from resolved capture dimensions before the first detached HDR frame arrives so startup session creation cost is removed from the staged HEVC hot path
307	aff5dda	89.79	discard	force 120 Hz PQ HEVC BGRA overlay workloads onto the SkyLight display stream backend to test whether callback-driven producer topology beats the private IOSurface timer producer while keeping the detached encoder path unchanged
308	cfd3b7b	89.79	discard	exactly align high-refresh PQ HDR HEVC private producer depth by forcing the source surface ring and pending budget to four, matching the proven detached staging inflight cap
309	9b034f2	89.58	discard	prewarm detached staging slots and textures before source start for corrected high-refresh PQ HDR HEVC so first fresh staged frames avoid slot allocation on the source callback path
310	035ce1b	90.00	discard	route corrected private-direct PQ HEVC frames through an actor-owned latest-wins mailbox so source callbacks return before detached staging preparation runs
311	f30ef077	90.21	discard	trust MDK-authored complete HDR extensions on encoded ingress and skip Lumen HEVC static-metadata reinjection when sample buffers already carry both mastering display and content light metadata
312	b3f455f	90.00	discard	suppress cursor-overlay composition inside corrected detached high-refresh PQ HEVC staging to isolate whether cursor-plane blending itself is the remaining useful-output bottleneck
313	1da63947	90.62	discard	disable producer-side cursor emission only for corrected 120 Hz HDR overlay capture to isolate whether cursor-plane emission itself dominates the remaining ceiling
314	37c1678	89.79	discard	move private-direct producer cursor image and surface refresh off the capture timer queue by prewarming once synchronously and refreshing asynchronously on a dedicated cursor queue
315	daa1db7	89.79	discard	suppress private-direct stale clean-surface fallback on high-refresh extended-range capture misses so only freshly captured producer surfaces enter the detached path
316	39de8d7	89.79	discard	decouple private-direct producer frameHandler delivery from the capture timer queue by dispatching delivery onto a dedicated serial producer delivery queue
317	0a4d799	90.00	discard	move private-direct per-frame cursor draw geometry off the capture timer queue onto the producer delivery queue while preserving producer cursor emission semantics
318	e2457f73	87.71	discard	make SDR-base HDR overlay use 8-bit YUV capture+encode as an SDR base plane with no HDR base metadata
319	1c99b405	87.71	discard	keep BGRA producer but make partial HDR overlay encode an SDR 8-bit base with no HDR base metadata
320	496c298	89.38	discard	strip source surface and cursor overlay references from cached replay-state frames so recovery replay only retains encoded image buffers and timing metadata
321	e5a188fd	build-fail	discard	separate cursor emission from 120Hz HDR overlay base path by disabling producer cursor emission so the bridge can drop BGRA-for-cursor producer preference and try raw 10-bit producer topology
322	24825c63	89.79	discard	remove cursor-driven BGRA producer requirement from 120Hz HDR overlay by disabling producer cursor emission and updating the bridge contract to use raw 10-bit producer topology
323	8fa934c	90.21	discard	enforce source-order submission for completed detached HDR HEVC staging work before VT encode so out-of-order Metal completion cannot reshuffle fresh frame cadence
324	f0531cf	89.58	discard	raise detached HEVC output, encode, and submission queue QoS to prioritize useful-output callback scheduling under high-refresh HDR load
325	67833fa	90.00	discard	bypass detached PQ HDR HEVC source texture cache so every staged source and cursor surface remakes Metal textures instead of reusing sourceTextureCache
326	c44d485	89.38	discard	disable direct ProRes IOSurface pixel-buffer wrapper caching so each frame remakes its wrapped pixel buffer instead of reusing pixelBufferCache by surface ID
327	c7478933	89.79	discard	request 10-bit 4:2:2 producer surfaces for the high-refresh SDR-base HDR-overlay ProRes path so capture and ProRes input share a native YUV format instead of BGRA
328	d1ed0f32+c5571fd	88.62	discard	move corrected high-refresh SDR-base HDR-overlay ProRes onto 10-bit 4:2:2 producer capture and let private-direct ProRes keep automatic native 4:2:2 input instead of forcing BGRA
329	2a20dc7	89.79	discard	enable AllowOpenGOP only for corrected detached high-refresh PQ HDR HEVC so VT can test less rigid GOP closure without frame reordering
330	61d2965	89.79	discard	disable temporal compression only for corrected detached high-refresh PQ HDR HEVC to test whether inter-frame dependency is the remaining useful-output cadence bottleneck
331	689cf8a	90.00	discard	disable PrioritizeEncodingSpeedOverQuality only for corrected detached high-refresh PQ HDR HEVC to test whether VT speed-first bias is hurting useful-output cadence
332	e3947ad	90.00	discard	enable AllowFrameReordering only for corrected detached high-refresh PQ HDR HEVC to test whether strict no-reorder submission is limiting useful-output cadence
333	1921aab	90.00	discard	raise ReferenceBufferCount only for corrected detached high-refresh PQ HDR HEVC to test whether slightly deeper inter-frame reference residency improves useful-output cadence
334	2be8c6c	89.58	discard	disable the RealTime session hint only for corrected detached high-refresh PQ HDR HEVC to test whether VT realtime scheduling is constraining useful-output cadence
335	c12af48e+44795d4	89.79	discard	enable native YUV cursor overlay for same-format detached staging and remove the bridge's BGRA producer preference so 120 Hz SDR-base HDR-overlay HEVC can test a true raw 10-bit producer topology with cursor support
336	3d07ee90+a377118	90.00	discard	enable native YUV cursor overlay and bypass detached staging for same-format raw 10-bit HEVC frames while removing the bridge's BGRA producer preference for 120 Hz SDR-base HDR-overlay capture
337	d568844+37fa250c	85.00	discard	reopen the native YUV cursor-overlay raw path with q2 queue semantics for 120 Hz SDR-base HDR-overlay HEVC to test whether deeper producer depth unlocks the raw topology
338	ef081e2	90.00	discard	require a hardware-accelerated HEVC encoder session to rule out hidden software-fallback overhead in the corrected detached high-refresh PQ HDR path
339	6428c49	89.58	discard	disable low-latency rate control only for corrected detached high-refresh PQ HDR HEVC to test whether the low-latency HEVC encoder mode itself is the remaining ceiling
340	fc48732	89.79	discard	move recurring private-direct cursor image refresh and cursor IOSurface creation off the producer timer queue onto a dedicated serial cursor-refresh lane while keeping timer-queue-owned emitted cursor state
341	049f67d	86.00	discard	switch corrected detached high-refresh PQ HDR HEVC from AverageBitRate plus DataRateLimits to the new VariableBitRate mode so VideoToolbox can allocate bitrate elastically across complex HDR overlay segments
342	a30e2b1	90.62	discard	add MaximumRealTimeFrameRate to the corrected detached high-refresh PQ HDR HEVC session so VideoToolbox can size realtime scheduling for the full 240 Hz burst ceiling
343	9bbb076	89.79	discard	set SuggestedLookAheadFrameCount=0 on the corrected detached high-refresh PQ HDR HEVC path so VideoToolbox cannot retain extra analysis frames before final encode
344	d84fa95	build-fail	discard	apply the VideoConferencing preset dictionary before explicit overrides on the corrected detached high-refresh PQ HDR HEVC path; xcodebuild failed on a Swift CFDictionary conditional downcast in CaptureVideoToolboxProcessing.swift
345	1dcee39	build-fail	discard	apply the VideoConferencing preset dictionary before explicit overrides on corrected detached high-refresh PQ HDR HEVC using a safer cast path; build failed because the preset API needs an explicit macOS 26 availability guard
346	affc4e4	89.79	discard	apply the built-in VideoConferencing preset only on macOS 26 detached HDR HEVC sessions before explicit overrides to test whether hidden VideoToolbox low-latency tuning improves useful-output cadence
347	dd3f37f	89.58	discard	apply the built-in HighSpeed preset only on macOS 26 detached HDR HEVC sessions before explicit overrides to test whether hidden speed-tuned VideoToolbox settings improve useful-output cadence
344	a84cb5cc	86.42	discard	bridge frameHandler drops per-frame recordEncodedFrame task
348	bc32f33f	90.21	discard	bridge skips droppedFrame telemetry task while preserving core forwarding
349	50d9b12	87.79	discard	submission-side submittedFrameCount increment moved async
350	78aa1d5	87.75	discard	remove per-frame NSLock by confining keyframe request state to encode queue
351	36653c1e	88.12	discard	bridge removes all async event telemetry tasks while preserving core forwarding
352	0abdf45	88.22	discard	replay frames get odd-tick PTS so fresh cadence keeps authoritative even-tick timeline
353	df43376	88.75	discard	explicit per-frame duration gives fresh frames 1/120 and replay frames 1/240 cadence
354	07aedc5	87.50	discard	set BaseLayerFrameRateFraction=0.5 for corrected detached high-refresh HEVC
355	d0bc6aa	86.91	discard	set BaseLayerBitRateFraction=0.6 for corrected detached high-refresh HEVC
356	ef139c9	25.00	discard	enable LTR for corrected detached high-refresh HEVC
357	fdb28e8	NA	crash	force VTCompressionSessionCompleteFrames after each detached high-refresh PQ HEVC submit to flush callbacks immediately; the official metric run hung with no output and was discarded
358	0f478b2	90.83	keep	suppress immediate detached HDR HEVC recovery replay whenever VT already reports pending frames so synthetic recovery work does not pile onto an active callback backlog
359	eda0f8c	90.83	discard	delay detached HDR HEVC recovery replay suppression until VT reports more than one pending frame so a single in-flight frame can still trigger replay
360	f661347	90.21	discard	suppress idle and timer continuity replays for detached high-refresh PQ HDR HEVC whenever VT already reports pending frames
362	966b3d0	90.42	discard	suppress detached HDR HEVC immediate recovery replay whenever a fresher staged fresh frame is still in flight to VideoToolbox
363	94597bd	90.62	discard	set SourceFrameCount=120 on corrected detached high-refresh PQ HDR HEVC so VideoToolbox sees a finite streaming horizon
364	2d971d1	90.42	discard	enable MaximizePowerEfficiency only on corrected detached high-refresh PQ HDR HEVC to probe an untested VT scheduling mode
365	23f2b62	92.71	keep	explicitly shrink high-refresh PQ HDR HEVC VBV buffer duration to 1/30s and initial delay to 0 to cut VT startup buffering
366	4ca5a28	92.71	discard	tighten corrected detached high-refresh PQ HDR HEVC VBVBufferDuration further from 1/30s to 1/60s while keeping initial delay at 0; tied score without improvement
367	097cfff	92.92	keep	keep corrected detached high-refresh PQ HDR HEVC VBVBufferDuration at 1/30s but leave VBVInitialDelayPercentage at default; shorter buffer wins while explicit zero-delay clamp does not
368	cfb9ed6	92.71	discard	shorten corrected detached high-refresh PQ HDR HEVC VBVBufferDuration from 1/30s to 1/60s with default initial delay; regressed combined score via ProRes progression loss
369	131371c	92.71	discard	prefer a new 240Hz q4 raw SkyLight bootstrap candidate instead of the existing q2 bootstrap; wider source burst headroom did not improve the suite
370	4b2df67	92.71	discard	cache static HDR attachment payload data in MDKVideoHDRConfiguration so per-frame apply() reuses preencoded mastering/CLL blobs; attachment churn alone did not improve the suite
371	a67d73e	92.50	discard	bypass encodeQueue.sync for direct fresh high-refresh PQ HEVC submissions and inline raw submit on the source callback thread; regressed HEVC progression
372	5c341cb	92.50	discard	remove raw SkyLight source deliveryQueue hop; regressed callback isolation and progression
373	99371e9	92.71	discard	drive VT PTS from source displayTime globally; mild HEVC gain but ProRes staged path regressed, so the timing model should be HEVC-direct only
374	f63a0f7	92.71	discard	gate source displayTime VT PTS to HEVC HDR only; preserved ProRes but still left HEVC below the best, so PTS alone is insufficient without deeper submit cadence changes
375	cbcee28	92.50	discard	align HEVC VT duration to source cadence; closed the timestamp axis because adding duration dropped HEVC back to 36 frames despite better ProRes
376	7c60943	92.50	discard	move direct VT bookkeeping onto encodeQueue; pure bookkeeping ownership change did not improve HEVC progression, so outputQueue sync was not the limiting seam
377	73c9204	92.71	discard	prewarm VT compression session before source start; startup stayed flat and HEVC progression slipped from 38 to 37 frames, so lazy session creation is not the limiting path
378	f012a73	NA	build-fail	replace pending-frame drops with actor ingress scheduler; Swift 6 sendable violation in queue-to-actor bridge inside CaptureEncodedSession
379	6cae5d6	92.29	discard	replace pending-frame drop gate with actor latest-wins ingress scheduler; regressed both codecs because actor handoff/staging added more source-to-processor overhead than the existing q2 callback path
380	592a32a	92.29	discard	propagate raw SkyLight reduced dirty rect metadata into VT encode DirtyRects; produced no measurable progression change, so the current ceiling is above frame option hints and below source/backend cadence
381	dcfa594	92.71	discard	retune high-refresh SkyLight bootstrap/autotune for q1-q2 sessions; raw source q8 improves official-like source ceiling (37.98->75.92fps) but official metric still regressed, so the next ceiling is downstream of source cadence
382	a9a1a39	92.50	discard	async VT submit handoff; HEVC 36 frames 280.784ms startup 20.976/73.73ms latency; ProRes 34 frames 126.482ms startup 7.284/15.992ms latency
383	e36672a	92.71	discard	HEVC high-refresh HDR processor-local latest-wins submit mailbox; HEVC 37 frames 285.333ms startup 20.859/70.921ms latency; ProRes 35 frames 131.772ms startup 7.211/13.836ms latency
384	15309d6	92.71	discard	pair HEVC q8 source depth override with processor latest-wins submit mailbox; HEVC stayed at 37 frames 281.396ms startup 20.794/68.268ms latency while ProRes dropped to 33 frames 128.452ms startup 7.263/13.474ms latency, so source q8 + mailbox just added pressure without improving progression
385	c2a6b88	92.50	discard	move HEVC handoff to latest-fresh source gate; callback path got lighter but active+latest-only gate over-dropped at this resolution, so HEVC fell to 36 frames 275.785ms startup 20.886/69.344ms latency while ProRes stayed near baseline at 35 frames 135.210ms startup 7.359/13.905ms
386	6b09575b	92.50	discard	remove BGRA overlay capture forcing for partial HDR overlay; ProRes improved slightly to 35 frames / 123.345ms / 7.257/13.571ms but HEVC regressed to 36 frames / 342.257ms / 20.802/67.497ms, so raw 10-bit YUV source alone does not preserve HEVC startup/progression under current overlay contract
387	1834570f	72.71	discard	split overlay HDR state from encoded HDR sample signaling and move overlay HEVC base path to SDR 420v8; synthetic stayed 100 but runtime probe never recovered partial HDR (0 hdr frames on both codecs), and even without that loss HEVC/ProRes progression stayed below the 92.92 keep
388	b1ad1a7	92.71	discard	dirty-rect metadata plus partial BGRA-to-YUV staging reuse kept HDR correctness but regressed startup badly (HEVC 427.611 ms vs best 285.576 ms) while progression stayed flat
389	e590e7b	92.71	discard	disable synthetic skylight timer replay; HEVC fell to 37 frames / 316.084ms / 20.760/68.036ms and ProRes fell to 34 frames / 128.284ms / 7.459/16.031ms, so source timer replay is still supporting progression under the current raw ceiling
390	2899e8a	92.29	discard	gate SkyLight synthetic timer replay on pending-idle; HEVC dropped to 35 frames / 338.540ms / 21.018/70.425ms and ProRes to 34 frames / 142.163ms / 7.292/15.128ms, so timer replay still needs to run while backlog exists to sustain progression
391	909e7da	92.71	discard	suppress HEVC high-refresh HDR timerReplay when VT NumberOfPendingFrames > 1; HEVC recovered to 37 frames but startup regressed to 360.491ms while ProRes stayed 34 frames / 129.161ms / 7.183/13.392ms, so VT-pending-based timerReplay suppression still loses to current baseline
392	610705e	92.50	discard	defer HEVC high-refresh HDR timerReplay through an encodeQueue latest slot while keeping fresh frames synchronous; HEVC fell to 36 frames / 336.246ms / 20.913/71.716ms and ProRes stayed 35 frames / 129.706ms / 7.209/13.820ms, so synthetic-only latest-slot still regresses overall progression
393	b35b517	discard	92.71	restore-best-era-hevc-baseline
394	4e0365e+988a7ffa	discard	92.71	surface reduced-dirty diagnostics in production encoded path; no score gain, and official runtime probe does not consume bridge capture diagnostics yet so the new source metadata was not observable in metric output
395	4e0365e+2cc77ebe	discard	25.00	export capture diagnostics through runtime probe failed because runtime_probe.mm could not see LumenMacBridgeControllerCopyCaptureDiagnostics from the built framework header; fix the probe declaration seam before re-measuring
396	4e0365e+be7c2774	discard	25.00	runtime probe explicit declaration fixed compile-time visibility but link still failed because LumenMacBridgeControllerCopyCaptureDiagnostics was defined without C linkage in the shim implementation
397	4e0365e+7ba0b49d	discard	25.00	capture-diagnostics export symbol was present in the current LumenMacBridge build, but runtime probe still linked against a stale DerivedData framework chosen by global newest-mtime resolution
398	107927f6	keep	93.33	bind runtime probe to the workspace-specific build products instead of global newest-mtime DerivedData; this removed stale-framework linkage and raised the official score to 93.33 (HEVC 40 frames, ProRes Proxy 32 frames)
399	b727dfe0	discard	25.00	removing BGRA overlay forcing materially improved raw source diagnostics (private BGRA path disappeared; sourceApproxFrameRate rose from 24.80 to 44.23), but the existing synthetic contract still hard-coded BGRA for partial HDR overlay so the official metric failed before runtime scoring
400	33fbf5bd	keep	95.21	remove BGRA overlay capture forcing and align the synthetic contract with native 10-bit overlay capture; HEVC improved to 49 frames / 260.990 ms and overall score rose to 95.21, confirming the old BGRA private backend was a structural source bottleneck
401	33fbf5bd+7f5358e	discard	95.00	trimming raw SkyLight pending backlog from 6-8 to 3-4 reduced startup a bit but slightly regressed HEVC progression and ProRes, so the new rawSkyLight regime still wants the larger pending budget
402	ee0fd7a2	discard	90.00	forcing q2 as the auto queue profile for native overlay 120Hz regressed the synthetic contract and lowered overall score, so the best state remains the native 10-bit overlay path with q1 auto selection
403	33fbf5bd+9cf9bea	discard	25.00	the actor mailbox hypothesis failed in its first form because a recursive processSourceFrame closure violated Swift sendability rules and the build never completed
404	33fbf5bd+8fc3b9a	keep	95.83	actor latest-wins mailbox on the saturated rawSkyLight source improved HEVC progression to 52 frames with 241.512 ms startup and 97.532 ms average callback latency, raising the official score to 95.83 without sacrificing ProRes Proxy
405	33fbf5bd+8fc3b9a+92b8172	discard	95.83	combining the actor latest-wins mailbox with the lower 3-4 pending budget only tied the mailbox keep; HEVC stayed flat and the gain was not enough to exceed the current best
406	7d4b5c2+4042192	discard	95.42	skipping rawSkyLight dirty-rect/update-drop metadata decoding on the hot high-refresh callback path reduced diagnostic work but did not improve the official metric; HEVC regressed to 50 frames with 320.308 ms startup and 102.072 ms average callback latency, so the metadata decode cost is not the main bottleneck
0	8e8eec816c31d9f40c85bbfb2181641c23dda470	95.420000	baseline	baseline
407	e8daed1	discard	95.21	split raw skylight timerReplay onto a separate replay lane while keeping fresh callback delivery on the original lane regressed HEVC to 49 frames with 325.653 ms startup and 102.190 ms average callback latency, so shared-lane ordering was still helping progression
408	f65e1d4	discard	95.42	adding explicit sRGB colorspace to the production raw SkyLight stream did not improve the official path; HEVC rose only to 50 frames but startup regressed to 379.589 ms and overall score stayed below the keep
409	1dc4c8f	discard	95.42	adding explicit full-display sourceRect and target destinationRect to the production raw SkyLight stream reduced HEVC startup to 309.862 ms and callback latency to 99.598 ms, but ProRes Proxy fell to 25 frames and the combined score still stayed below the keep
410	66fbd3c	discard	95.42	bypass staged replay resubmission copies; HEVC 50 frames startup 350.261 ms avg 101.379 ms, ProRes Proxy 25 frames startup 147.559 ms
411	f0da95e	discard	51.42	async encodeQueue handoff collapsed stability; HEVC drop events 22 and score cratered despite 336.406 ms startup, ProRes drop events 2
412	aad190b	discard	95.21	raising raw skylight callback queue to userInteractive QoS reduced HEVC to 49 frames and did not improve progression; callback priority is not the lever
413	a3e5e72	discard	53.42	actorized replay state and removed serialized delivery queue; fresh callbacks flooded VT path, causing HEVC drop events 21 and score collapse
414	5863edc	discard	95.42	bounded source-side latest-wins replay drain kept VT stable but left HEVC at 50 frames with 330.665 ms startup and 100.152 ms callback latency, so source cadence still collapsed before progression improved
415	257bcaf	discard	95.21	bounded session-level ingress drain returned source callbacks immediately but regressed to HEVC 49 frames and introduced ProRes drop events 2, so ingress-only decoupling still does not break the progression ceiling
416	a189aaa+237d24af	discard	95.42	carrying source dirty-region through MDK encoded frames and into Lumen's partial HDR overlay contract preserved selective-HDR truth but left HEVC pinned at 50 frames with 425.598 ms startup and 102.302 ms average callback latency, so overlay truth transport is not the 120fps bottleneck
417	23b991e	discard	25.00	actor plus AsyncStream(bufferingNewest=1) latest-wins ingress raised same-host HEVC diagnostic source cadence from about 49.83 to 77.92 fps, but the official HEVC runtime probe failed and the score cratered, so naive ingress de-serialization breaks stability
418	34ffbeb3	discard	95.42	avoiding immediate decoder resync on ingress drop events preserved stability but left HEVC pinned at 50 frames with 320.597 ms startup and 100.226 ms average callback latency, so resync thrash is downstream noise rather than the primary progression bottleneck
419	f3f6909	discard	95.42	actor bounded latest-wins source ingress replaced the SkyLight delivery queue without destabilizing either codec, but HEVC stayed pinned at 50 frames and startup regressed to 366.011 ms, so source-runtime ingress serialization alone is not the remaining progression ceiling
420	b4ae57e	discard	25.00	bounded latest-wins at the VideoToolbox submit boundary collapsed HEVC progression to 48 frames with 321.936 ms startup and 103.706 ms average callback latency, proving the synchronous VT submit/completion contract cannot be turned into a replace-latest gate without redesigning recovery and drain invariants
421	87e0992	discard	95.42	caching HDR CVBuffer attachments per direct surface and staging slot reduced HEVC startup to 298.033 ms but left HEVC pinned at 50 frames while ProRes Proxy fell to 24 frames, so per-frame HDR attachment writes are not the primary progression bottleneck
422	7851f15	discard	25.00	actor-ordered source drain recovered local production source cadence to about 108.69 fps in host diagnostics, but without a new encoder-pending gate the official HEVC probe flooded into 54 drop events and collapsed to 25.00, so callback decoupling must be paired with explicit encoder-side flow control
423	9fed388	discard	95.21	deferring high-refresh HEVC source release until the actual encoder output callback eliminated the 422-style flood but pushed local production source cadence back down to about 41.57 fps and still regressed official HEVC to 49 frames, so output-callback gating is too conservative and the next gate must key off intermediate VT pending state instead
424	362fa57	discard	25.00	gating the actor-ordered drain on VT NumberOfPendingFrames lowered official HEVC callback latency to 41.876 ms but still produced 44 drop events, while local production source cadence fell further to about 32.61 fps, so polling intermediate pending state from the source side both reintroduces choke and still fails to satisfy the runtime probe stability contract
425	af84640	discard	25.00	output-callback-driven drain credits preserved same-host HEVC source cadence at about 111.24 fps and cut local callback latency to about 21.16 ms, but mailbox replacements still surfaced as 82 queue-saturated drop events in the official probe, so intentional latest-wins coalescing must be separated from real overload failures before this structure can score
426	797737ce+1453ec1	discard	95.21	separating latest-wins coalescing from real dropped-frame failures eliminated the 425 stability penalty entirely, but the output-driven HEVC drain still landed at 49 frames with 390.162 ms startup and 42.847 ms average callback latency, so the remaining problem is startup/progression tuning inside the new credit model rather than event semantics
427	d1bf63a3+f2ea2ea	discard	95.21	raising output-driven HEVC warmup credits from 2 to 3 cut HEVC startup to 335.808 ms but left HEVC stuck at 49 frames and collapsed ProRes Proxy progression to 7 frames, so extra warmup depth destabilizes the shared runtime instead of improving the new drain model
428	779a68b9+ee20e50	discard	95.42	tightening the HEVC output-driven pending limit from 6 to 3 recovered HEVC to 50 frames without any stability penalty, but startup stayed at 356.676 ms and ProRes Proxy only reached 25 frames, so the new drain model still trails the 95.83 keep despite better backlog control
429	584b1a24+37e3fd6	discard	95.42	lowering the output-driven HEVC source pending limit from 3 to 2 improved startup to 311.729 ms and kept drop events at zero, but HEVC progression stayed capped at 50 frames and total score remained 95.42, so source-backlog tightening alone is no longer the limiting lever
430	da2289bf+c1cd3d1	discard	95.21	classifying current best mailbox replacements as coalesced events did not preserve the 404 progression path; HEVC fell to 49 frames and ProRes Proxy to 23 frames, so the remaining bottleneck is stale work inside the decoupled drain model rather than drop-event accounting on the old path
431	26d1bb21+3be98b7	discard	95.42	replacing the ordered-drain backlog with a single latest queued frame did not improve the official score; HEVC stayed at 50 frames with 42.430 ms average callback latency, so stale queued frames inside the coordinator are not the dominant limiter in the output-driven model
432	e4601f71+b40925e	discard	95.42	granting an extra drain credit immediately after successful HEVC submit when VT pending<=1 slightly improved startup but raised HEVC callback latency to 62.835 ms and still left progression at 50 frames, so steady-state post-submit credit grants overdrive the pipeline without lifting the official score
433	fa8ac29a+2477fcb	discard	90.21	limiting post-submit drain credits to bootstrap-only still poisoned the shared runtime: HEVC stayed at 50 frames but callback latency rose to 62.504 ms and ProRes Proxy fell to 25 frames with a 90.21 total score, so submit-return credit grants are the wrong control surface even when scoped to startup
434	430d31a	discard	83.42	actorizing the SkyLight source coordinator removed the serial delivery queue, but HEVC immediately picked up 6 drop events and collapsed to 83.42 despite the raw target-sized q2 source still measuring 115.40 fps locally, so source callback/replay actorization without a new ordering gate breaks the current keep path
435	5f5676b	discard	95.42	splitting the SkyLight source bookkeeping queue from the processor submit queue removed callback-path coupling without destabilizing the runtime, but HEVC stayed pinned at 50 frames with 335.476 ms startup and 101.433 ms average callback latency, so queue conflation is not the dominant remaining limiter
436\ta99dd2b\tdiscard\t95.42\tdecoupling encode-side bookkeeping from outputQueue.sync removed a plausible cross-queue diagnostic stall, but HEVC stayed pinned at 50 frames with 345.662 ms startup and 102.079 ms average callback latency while ProRes Proxy stayed at 25 frames, so output-queue bookkeeping is not the dominant limiter
437\tab5b230\tdiscard\t95.21\twidening the HEVC low-latency VBV buffer hint from full-HDR PQ only to all high-refresh HEVC paths made the selective-HDR-overlay runtime more conservative instead of faster: HEVC fell to 49 frames with 335.721 ms startup and 102.167 ms average callback latency, so the missing lever is not simply broader VBV buffering on the SDR-base overlay transport
438\t4bd2e8c\tdiscard\t25.00\tforcing detached staging for every high-refresh HEVC submit broke the current raw-SkyLight keep path outright: the official HEVC runtime probe crashed with String.init(cString:) null-termination failure before scoring, so unconditional detached same-format HEVC staging is not a valid structural upgrade on top of the 404 mailbox path
439\tc5b93f7\tdiscard\t95.42\twidening VT-pending-based immediate recovery replay suppression from PQ HDR HEVC to all high-refresh HEVC preserved stability and recovered HEVC to 50 frames, but startup regressed to 374.459 ms and ProRes Proxy fell to 21 frames, so the selective-HDR-overlay keep path still needs those synthetic recovery replays to land more aggressively than a blanket pending-frame suppressor allows
440	e1c26dac+07168cc	discard	build-fail	hybrid fresh-HEVC source-release deferral on callback backlog did not reach runtime measurement because CaptureVideoToolboxProcessing hit a Swift compiler failure around the deferred submission token path and Sendable capture, so this implementation form is closed before scoring
441	e1c26dac+be3183d	discard	95.21	gating fresh PQ HEVC source release on output backlog >=2 preserved stability but regressed the keep path to 49 HEVC frames at 336.037 ms startup and 103.064 ms average callback latency, so conditional callback-held source permits still reintroduce source choke before they reclaim meaningful encoder freshness
442	e1c26dac+59ffdb2	discard	95.21	adding VT MaximumRealTimeFrameRate on top of the existing 240 Hz ExpectedFrameRate/ExpectedDuration hint only trimmed startup to 308.587 ms while HEVC progression stayed pinned at 49 frames and ProRes Proxy slipped to 25 frames, so the remaining limiter is not missing maximum-submit-rate session metadata
443	886669e5+b4ec55c	discard	25.00	requesting VT HDRMetadataInsertionMode=RequestSDRRangePreservation for the sdr-base-hdr-overlay PQ/BT.2020 path preserved HEVC HDR signalling but left HEVC at 49 frames and caused the ProRes Proxy runtime probe to fail outright, so selective-HDR metadata insertion mode changes are not a safe performance lever on the current dual-codec path
444	bb1220d	discard	95.42	releasing the high-refresh direct PQ HEVC source permit immediately after IOSurface-to-CVPixelBuffer wrapping let the source path run ahead of submit, but official HEVC stayed capped at 50 frames while startup regressed to 407.056 ms and ProRes Proxy fell to 22 frames, so early direct-path permit release just overfeeds the existing submit contract without improving progression
445	195c947	discard	95.21	caching reused SkyLight IOSurface wrappers inside the replay state removed per-fresh-frame wrapper churn, but official HEVC regressed to 49 frames at 323.147 ms startup and ProRes Proxy fell to 20 frames, so wrapper allocation churn is not the dominant front-edge cost in the current production path
446	8b24ae9f+6785a42	discard	95.42	actor-based startup-burst output-driven HEVC drain with initial credits equal to the source pending depth still regressed to the same 50-frame plateau with 384.357 ms startup and 101.428 ms average callback latency, which means the extra actor enqueue handoff itself is enough to lose the 404 startup edge even before steady-state backpressure can help
447	8538c8f	discard	25.00	making high-refresh PQ HEVC submission fully asynchronous removed callback-thread blocking but immediately blew up source-side saturation with 53 HEVC drop events, collapsing the official score to 25.00, so callback release without an equally cheap bounded drain contract just trades submit blocking for mailbox churn
448	4276cf9	discard	95.21	queue-owned credit-driven latest-wins handoff removed the actor overhead and kept HEVC stable with zero drops while cutting callback latency to 42.78 ms, but progression stayed pinned at 49 frames with 337.531 ms startup, so the bounded queue contract is promising yet still too conservative at two credits to beat the 404 baseline
